id,transaction_id,account_id,amount,date,description,category,merchant_name,merchant_typ,user_modified,user_modified_fields,date_temp
1481,txn_p9pu5fkua9aferpfv4000,acc_p9opotuud3tio7hht4000,8.73,2023-07-10,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
1482,txn_p9pu5fkua9aferpfv4001,acc_p9opotuud3tio7hht4000,6.78,2023-07-10,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1483,txn_p9pu5fkua9aferpfv4002,acc_p9opotuud3tio7hht4000,7.52,2023-07-10,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
1484,txn_p9pu5fkua9aferpfv4003,acc_p9opotuud3tio7hht4000,15.25,2023-07-10,"#7 Wake County Abc Boa Cary Nc",general,"7 WAKE COUNTY",organization,,,
1485,txn_p9pu5fkua9aferpfv4004,acc_p9opotuud3tio7hht4000,10.24,2023-07-10,"Sheetz 0600 00006007 Morrisville Nc",dining,SHEETZ,organization,,,
1486,txn_p9pu5fkua9aferpfv4005,acc_p9opotuud3tio7hht4000,15.69,2023-07-10,"Mi Cancun Morrisville Nc",general,"MI CANCUN",organization,,,
1487,txn_p9pu5fkua9aferpfv4006,acc_p9opotuud3tio7hht4000,6.41,2023-07-10,"Sheetz 0600 00006007 Morrisville Nc",dining,SHEETZ,organization,,,
1488,txn_p9pu5fkua9aferpfv4007,acc_p9opotuud3tio7hht4000,6.74,2023-07-10,"Sheetz 0600 00006007 Morrisville Nc",dining,SHEETZ,organization,,,
1489,txn_p9pu5fkua9aferpfv4008,acc_p9opotuud3tio7hht4000,5.48,2023-07-07,"Wholefds Alt #10611 Cary Nc",groceries,"WHOLE FOODS",organization,,,
1490,txn_p9pu5fkua9aferpfv4009,acc_p9opotuud3tio7hht4000,19.62,2023-07-07,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
1491,txn_p9pu5fkua9aferpfv400a,acc_p9opotuud3tio7hht4000,34.21,2023-07-06,"Harris Teeter Fuel #49 Cary Nc",general,"HARRIS TEETER",organization,,,
1492,txn_p9pu5fkuq9aferpfv4000,acc_p9opotuud3tio7hht4000,-5.18,2023-06-23,"Internet Payment Thank You",Unknown,Unknown,Unknown,,,
1493,txn_p9pu5fkuq9aferpfv4001,acc_p9opotuud3tio7hht4000,-250.0,2023-06-20,"Internet Payment Thank You",Unknown,Unknown,Unknown,,,
1494,txn_p9pu5fkuq9aferpfv4002,acc_p9opotuud3tio7hht4000,-30.0,2023-06-20,"Points Redeemed For Statement Credit",Unknown,Unknown,Unknown,,,
1495,txn_p9pu5fkuq9aferpfv4003,acc_p9opotuud3tio7hht4000,3.01,2023-06-14,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1496,txn_p9pu5fkuq9aferpfv4004,acc_p9opotuud3tio7hht4000,1.93,2023-06-14,"Sheetz 0600 00006007 Morrisville Nc",dining,SHEETZ,organization,,,
1497,txn_p9pu5fkuq9aferpfv4005,acc_p9opotuud3tio7hht4000,2.78,2023-06-14,"Shell Oil 12816233006 Cary Nc",fuel,SHELL,organization,,,
1498,txn_p9pu5fkuq9aferpfv4006,acc_p9opotuud3tio7hht4000,5.59,2023-06-13,"Sheetz 0600 00006007 Morrisville Nc",dining,SHEETZ,organization,,,
1499,txn_p9pu5fkuq9aferpfv4007,acc_p9opotuud3tio7hht4000,31.75,2023-06-13,"Buffalo Wild Wings 035 Morrisville Nc",bar,"BUFFALO WILD WINGS",organization,,,
1500,txn_p9pu5fkuq9aferpfv4008,acc_p9opotuud3tio7hht4000,-591.17,2023-06-13,"Payment Thank You",Unknown,Unknown,Unknown,,,
1501,txn_p9pu5fkuq9aferpfv4009,acc_p9opotuud3tio7hht4000,7.49,2023-06-13,"Trader Joe S #791 Morrisville Nc",shopping,"TRADER JOE'S",organization,,,
